player,team,nation,pos,age,born,league,season,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Playing Time_MP_playing_time,Playing Time_Min_playing_time,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s_playing_time,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,90s_misc,Performance_CrdY_misc,Performance_CrdR_misc,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Alex Murphy,Newcastle United,IRL,DF,19,2004,ENG-Premier League,2324,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0,0,0,,0.0,0.0,,,0,0,2,13.0,7.0,0.4,0.1,0,,0,2,7.0,17,3.0,0.0,0.0,0.0,0.0,-0.61,0.1,0,0,0,2,0,0,0,1,1,,,0
Alexander Isak,Newcastle United,SWE,FW,23,1999,ENG-Premier League,2324,30,27,2255,25.1,21,2,23,16,5,6,1,0,0.84,0.08,0.92,0.64,0.72,25.1,21,78,43,55.1,3.11,1.72,0.21,0.37,5,6,30,2255.0,75.0,65.9,25.1,27,80.0,13,3,32.0,1,1.5,51.0,41.0,10.0,0.4,-0.61,25.1,1,0,0,14,16,17,10,6,0,,,0
Amadou Diallo,Newcastle United,ENG,FW,20,2003,ENG-Premier League,2324,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0.0,0.0,,,0,0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,5,3.0,0.0,0.0,0.0,0.0,-0.61,0.0,0,0,0,0,0,0,0,0,0,,,0
Anthony Gordon,Newcastle United,ENG,FW,22,2001,ENG-Premier League,2324,35,34,2890,32.1,11,10,21,10,1,1,12,1,0.34,0.31,0.65,0.31,0.62,32.1,11,81,31,38.3,2.52,0.97,0.12,0.32,1,1,35,2890.0,83.0,84.5,32.1,34,83.0,16,1,79.0,0,1.57,70.0,48.0,22.0,0.69,0.52,32.1,12,1,1,38,64,8,111,6,33,,,0
Ben Parkinson,Newcastle United,ENG,FW,18,2005,ENG-Premier League,2324,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0,0,0,,0.0,0.0,,,0,0,1,25.0,25.0,0.7,0.3,0,,0,1,25.0,8,0.0,0.0,1.0,-1.0,-3.6,-4.24,0.3,0,0,0,0,0,1,0,0,0,,,0
Bruno Guimarães,Newcastle United,BRA,MF,25,1997,ENG-Premier League,2324,37,37,3263,36.3,7,8,15,7,0,0,9,0,0.19,0.22,0.41,0.19,0.41,36.3,7,48,16,33.3,1.32,0.44,0.15,0.44,0,0,37,3263.0,88.0,95.4,36.3,37,88.0,31,0,,0,1.62,81.0,60.0,21.0,0.58,-0.57,36.3,9,0,0,50,108,0,33,31,52,,,0
Callum Wilson,Newcastle United,ENG,FW,31,1992,ENG-Premier League,2324,20,9,991,11.0,9,1,10,7,2,2,3,0,0.82,0.09,0.91,0.64,0.73,11.0,9,35,21,60.0,3.18,1.91,0.2,0.33,2,2,20,991.0,50.0,29.0,11.0,9,80.0,5,11,25.0,0,1.65,30.0,15.0,15.0,1.36,1.07,11.0,3,0,0,15,17,4,3,1,3,,,0
Dan Burn,Newcastle United,ENG,DF,31,1992,ENG-Premier League,2324,33,32,2726,30.3,2,2,4,2,0,0,4,0,0.07,0.07,0.13,0.07,0.13,30.3,2,23,6,26.1,0.76,0.2,0.09,0.33,0,0,33,2726.0,83.0,79.7,30.3,32,85.0,24,1,18.0,0,1.64,74.0,45.0,29.0,0.96,1.74,30.3,4,0,0,32,11,4,11,35,34,,,0
Elliot Anderson,Newcastle United,ENG,"MF,FW",20,2002,ENG-Premier League,2324,21,10,1027,11.4,0,2,2,0,0,0,3,0,0.0,0.18,0.18,0.0,0.18,11.4,0,19,5,26.3,1.67,0.44,0.0,0.0,0,0,21,1027.0,49.0,30.0,11.4,10,80.0,3,11,21.0,0,1.86,30.0,14.0,16.0,1.4,1.14,11.4,3,0,0,22,19,1,19,9,18,,,0
Emil Krafth,Newcastle United,SWE,DF,28,1994,ENG-Premier League,2324,17,8,913,10.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,10.1,0,4,0,0.0,0.39,0.0,0.0,,0,0,17,913.0,54.0,26.7,10.1,8,90.0,8,9,21.0,11,1.71,26.0,15.0,11.0,1.08,0.65,10.1,2,0,0,11,7,0,17,8,11,,,0
